"ACa40";"Went the Day Well?";"Frank Lawton";"Und";"RU:"
"ACa40";"Went the Day Well?";"Basil Sidney";"Und";"RU:"
"ACa40";"Went the Day Well?";"Valerie Taylor";"Und";"RU:"
"ACa40";"Went the Day Well?";"Mervyn Johns";"Und";"RU:"
"ACa40";"Went the Day Well?";"Edward Rigby";"Und";"RU:"
"ACa40";"Went the Day Well?";"Marie Lohr";"Und";"RU:"
"ACa40";"Went the Day Well?";"C.V. France";"Und";"RU:"
"ACa40";"Went the Day Well?";"David Farrar";"Und";"RU:"
"ACa50";"Dead of Night";"Mervyn Jones";"Und";"R:architect, dreams"
"ACa50";"Dead of Night";"Roland Culver";"Vic";"R:psychiatrist, killed"
"ACa50";"Dead of Night";"Mary Merrall";"Und";"RU:"
"ACa50";"Dead of Night";"Judy Kelly";"Und";"RU:"
"ACa50";"Dead of Night";"Anthony Baird";"Und";"RU:"
"ACa50";"Dead of Night";"Miles Malleson";"Und";"RU:"
"ACa50";"Dead of Night";"Sally Ann Howes";"Und";"RU:"
"ACa50";"Dead of Night";"Frederick Valk";"Und";"RU:"
"ACa50";"Dead of Night";"Googie Withers";"Und";"RU:"
"ACa50";"Dead of Night";"Ralph Michael";"Und";"RU:"
"ACa50";"Dead of Night";"Esmé Percy";"Und";"RU:"
"ACa50";"Dead of Night";"Basil Radford";"Und";"RU:"
"ACa50";"Dead of Night";"Naunton Wayne";"Und";"RU:"
"ACa50";"Dead of Night";"Michael Redgrave";"Und";"R:schizophrenic ventriloquist"
"ACa50";"Dead of Night";"Hartley Power";"Und";"R:rival"
"ACa50";"Dead of Night";"Frederick Valk";"Und";"R:psychoanalyst"
"ACa50";"Dead of Night";"Elizabeth Welch";"Und";"RU:"
"ACa60";"Nicholas Nickleby";"Derek Bond";"Und";"R:schoolmaster, joins entertainer"
"ACa60";"Nicholas Nickleby";"Cedric Hardwicke";"Und";"R:mean uncle, usurer"
"ACa60";"Nicholas Nickleby";"Alfred Drayton";"Und";"RZ:helper, adopted, turns out to be cousin"
"ACa60";"Nicholas Nickleby";"Sybil Thorndyke";"Und";"RZ:deceived mother"
"ACa60";"Nicholas Nickleby";"Stanley Holloway";"Und";"RZ:traveling entertainer"
"ACa60";"Nicholas Nickleby";"Sally Ann Howes";"Und";"RZ:innocent sister, being bartered ""Kathy"""
"ACa60";"Nicholas Nickleby";"Jill Balcon";"Und";"RZ:love, forced to marry uncle to save father"
"ACa60";"Nicholas Nickleby";"Cyril Fletcher";"Und";"RZ:rich wimp"
"ACa60";"Nicholas Nickleby";"Fay Compton";"Und";"RZ:aunt"
"ACa60";"Nicholas Nickleby";"s a";"Und";"R:father, dies prior to marriage"
"ACa60";"Nicholas Nickleby";"s a";"Und";"R:maltreated servant, revenges"
"ACf10";"Leave it to Beaver";"Cameron Finley";"Und";"R:kid ""Beaver"""
"ACf10";"Leave it to Beaver";"Christopher McDonald";"Und";"RN:""Ward"""
"ACf10";"Leave it to Beaver";"Janine Turner";"Und";"RN:""June"""
"ACf10";"Leave it to Beaver";"Erik vonDetten";"Und";"RN:""Wally"""
"AcG10";"Fedora, or Piu Forte dell'Odio e Amore";"Pina Menichelli";"Und";"RU:"
"ACj110";"I Can Take Care of Myself";"Myron McCormick";"Und";"R:piano player"
"ACj110";"I Can Take Care of Myself";"Frankie Darro";"Und";"R:mobster, punched"
"ACj110";"I Can Take Care of Myself";"Linda Lawson";"Und";"R:beautiful singer, insults mobster, killed"
"ACj110";"I Can Take Care of Myself";"Pat Harrington jr.";"Und";"R:goon, pretends to sell life insurance"
"ACj110";"I Can Take Care of Myself";"Will Kuluva";"Und";"RZ:goon, pretends to be detective"
"ACj110";"I Can Take Care of Myself";"Leonard Weinrib";"Und";"RZ:nightclub owner"
"ACj110";"I Can Take Care of Myself";"Edmon Ryan";"Und";"RU:"
"ACj110";"I Can Take Care of Myself";"William Sharon";"Und";"R:back-up pianist"
"ACj111";"The Money";"Robert Loggia";"Und";"R:ingratiating bookie"
"ACj111";"The Money";"Doris Dowling";"Und";"R:money-hungry girlfriend"
"ACj111";"The Money";"Will Kuluva";"Und";"R:father's friend, importer"
"ACj111";"The Money";"Wolfe Barzell";"Und";"R:importer's collegue"
"ACj111";"The Money";"Monica May";"Und";"R:importer's secretary"
"ACj112";"The Man Who Found The Money";"Arthur Hill";"Und";"R:gambler, finds and turns in money clip, accused"
"ACj112";"The Man Who Found The Money";"R.G. Armstrong";"Und";"R:police captain"
"ACj112";"The Man Who Found The Money";"Rod Cameron";"Und";"R:clip's owner"
"ACj113";"The Kiss Off";"Rip Torn";"Und";"R:falsely convicted, takes revenge"
"ACj113";"The Kiss Off";"Mary Munday";"Und";"R:witness in tax office"
"ACj113";"The Kiss Off";"Ken Patterson";"Und";"R:teller, held up"
"ACj113";"The Kiss Off";"Florence McMichael";"Und";"R:wife"
"ACj113";"The Kiss-Off";"Harry Swooger";"Und";"R:surly taxi-driver, witness"
"ACj113";"The Kiss Off";"Don Keefer";"Und";"RZ:desk clerk"
"ACj113";"The Kiss-Off";"Frank Sully";"Und";"RZ:cop"
"ACj113";"The Kiss-Off";"Bert Freed";"Und";"R:district attorney, concedes ""Cooper"""
"ACj114";"Deathmate";"Lee Phillips";"Und";"R:handsome con-man"
"ACj114";"Deathmate";"Gia Scala";"Und";"R:mistress"
"ACj114";"Deathmate";"Les Tremaye";"Und";"R:wimpy husband, suspect, murdered"
"ACj114";"Deathmate";"Ann Stanton";"Und";"RU:"
"ACj114";"Deathmate";"Russell Collins";"Und";"R:detective"
"ACj115";"Gratitude";"Peter Falk";"Und";"R:racketeer, fears death"
"ACj115";"Gratitude";"Paul Hartman";"Und";"R:devoted valet, shoots boss"
"ACj115";"Gratitude";"Edmund Haskin";"Und";"RZ:police luitenant, after gamblers"
"ACj115";"Gratitude";"John Dennis";"Und";"RZ:racketeer"
"ACj115";"Gratitude";"Bert Rensen";"Und";"RU:"
"ACj115";"Gratitude";"Karl Lukas";"Und";"RU:"
"ACj115";"Gratitude";"Ada Stewart";"Und";"R:gambles"
"ACj115";"Gratitude";"Phil Gordon";"Und";"RU:"
"ACj115";"Gratitude";"Clegg Hoyt";"Und";"RU:"
"ACj116";"The Gloating Place";"Susan Harrison";"Und";"R:fakes assault, strangled"
"ACj117";"Servant Problem";"John Emery";"Und";"R:has to cook for party"
"ACj117";"Servant Problem";"Jo vanFleet";"Und";"R:boozy wife, shows up"
"ACj117";"Servant Problem";"Alice Frost";"Und";"R:influential guest"
"ACj118";"The Hat Box";"Paul Ford";"Und";"R:professor, murder suspect"
"ACj118";"The Hat Box";"Billy Gray";"Und";"R:cheating student"
"ACj118";"The Hat Box";"Frank Maxwell";"Und";"R:police agent, mollified"
"ACj119";"Keep Me Company";"Anne Francis";"Inn";"R:bored wife"
"ACj119";"Keep Me Company";"Edmund Hashim";"Vil";"R:works late, robber"
"ACj119";"Keep Me Company";"Jack Ging";"Agt";"R:detective"
"ACj120";"Beta Delta Gamma";"Duke Howard";"Und";"R:beery student"
"ACj120";"Beta Delta Gamma";"Burt Brinckerhoff";"Und";"R:challenged"
"ACj121";"The Right Kind of Medicine";"Robert Redford";"Und";"R:burglar, kills cop, clerk"
"ACj121";"The Right Kind of Medicine";"Russell Collins";"Und";"R:pharmacist, makes mistake in prescription"
"ACj121";"The Right Kind of Medicine";"George Clarke";"Und";"R:unsavory doctor"
"ACj121";"The Right Kind of Medicine";"Joby Baker";"Und";"R:phramacist's clerk, shot"
"ACj121";"The Right Kind of Medicine";"Bernard Kates";"Und";"R:witness"
"ACj121";"The Right Kind of Medicine";"King Calder";"Und";"R:police luitenant, gloats"
"ACj121";"The Right Kind of Medicine";"Bob Karnes";"Und";"R:police sergeant"
"ACj121";"The Right Kind of Medicine";"Bert Remsen";"Und";"R:cop with cough"
"ACj121";"The Right Kind of Medicine";"Harry Swoger";"Und";"R:neighbor"
"ACj122";"The Case of M.J.H.";"Barbara Baxley";"Und";"R:lonely assistamt"
"ACj122";"The Case of M.J.H.";"Ted Newton";"Und";"R:psychiatrist boss"
"ACj122";"The Case of M.J.H.";"Robert Loggia";"Und";"R:petty crook, blackmails"
"ACj122";"The Case of M.J.H.";"Richard Gaines";"Und";"R:blackmailed, kills crook"
"ACj123";"The Woman Who Wanted to Live";"Lola Allbright";"Und";"R:accosted"
"ACj123";"The Woman Who Wanted to Live";"Charles Bronson";"Und";"R:escaped convict"
"ACj124";"Apex";"Mark Miller";"Und";"R:unfaithful husband"
"ACj124";"Apex";"Vivienne Segal";"Und";"R:rich wife, poisoned"
"ACj124";"Apex";"Pat Breslin";"Und";"R:wife's friend, mistress, deceives lover, killed"
"ACj125";"The Big Kick";"Brian Hutton";"Und";"R:beatnik"
"ACj125";"The Big Kick";"Anne Helm";"Und";"R:beatnik"
"ACj125";"The Big Kick";"Wayne Rogers";"Und";"R:older guy, deceives, kills"
"ACj126";"The Night of the Owl";"Brian Keith";"Und";"R:protective forest ranger, blackmailed"
"ACj126";"The Night of the Owl";"Patricia Breslin";"Und";"R:wife"
"ACj126";"The Night of the Owl";"Claudia Cravey";"Und";"R:adopted"
"ACj127";"House Guest";"Robert Sterling";"Und";"R:rescuer"
"ACj127";"House Guest";"Billy Mumy";"Und";"R:saved son"
"ACj127";"House Guest";"MacDonald Carey";"Und";"R:father"
"ACj127";"House Guest";"Peggy McKay";"Und";"R:mother"
"ACj127";"House Guest";"s a";"Und";"R:camper, in on scam"
"ACj128";"Last Seen Wearing Bluejeans";"Michael Wilding";"Und";"R:british tourist"
"ACj128";"Last Seen Wearing Bluejeans";"Anna Lee";"Und";"R:wife"
"ACj128";"Last Seen Wearing Bluejeans";"Katherine Crawford";"Und";"R:daughter, becomes witness"
"ACj128";"Last Seen Wearing Bluejeans";"Randy Boone";"Und";"R:helpful rancher"
